"","del=0","del=0.05","del=0.1","del=0.15","del=0.2","del=0.25","del=0.3","del=0.35","del=0.4","del=0.45","del=0.5","del=0.55","del=0.6","del=0.65","del=0.7","del=0.75","del=0.8","del=0.85","del=0.9","del=0.95","del=1","del=1.05","del=1.1","del=1.15","del=1.2","del=1.25","del=1.3"
"Dim 1",0.06,0.11,0.06,0.07,0.1,0.09,0.2,0.21,0.23,0.31,0.34,0.39,0.48,0.63,0.65,0.71,0.79,0.85,0.94,0.96,0.98,0.99,0.98,1,1,1,1
"Dim 2",0.02,0.07,0.06,0.08,0.05,0.11,0.13,0.17,0.13,0.25,0.28,0.37,0.47,0.6,0.61,0.69,0.77,0.79,0.87,0.94,0.94,0.98,0.99,1,1,0.99,1
"Dim 3",0.03,0.07,0.1,0.03,0.06,0.14,0.06,0.14,0.2,0.31,0.24,0.27,0.25,0.56,0.6,0.62,0.74,0.81,0.84,0.89,0.93,0.97,0.99,0.99,1,1,1
"Dim 4",0.09,0.03,0.07,0.03,0.04,0.07,0.12,0.12,0.12,0.27,0.23,0.33,0.4,0.44,0.51,0.63,0.63,0.75,0.88,0.87,0.92,0.93,0.99,0.99,0.98,0.99,1
"Dim 5",0.02,0.06,0.07,0.11,0.1,0.1,0.07,0.09,0.12,0.2,0.24,0.3,0.34,0.51,0.46,0.57,0.57,0.72,0.74,0.76,0.84,0.87,0.95,0.96,1,0.98,1
"Dim 6",0.02,0.07,0.11,0.04,0.08,0.05,0.12,0.06,0.13,0.11,0.29,0.3,0.35,0.42,0.48,0.53,0.72,0.75,0.76,0.81,0.88,0.87,0.94,0.97,0.98,1,1
"Dim 7",0.03,0.03,0.05,0.06,0.11,0.08,0.02,0.1,0.09,0.15,0.26,0.22,0.35,0.44,0.47,0.49,0.61,0.68,0.75,0.78,0.86,0.91,0.89,0.92,0.97,0.98,0.98
"Dim 8",0.04,0.07,0.06,0.09,0.08,0.09,0.16,0.14,0.15,0.14,0.24,0.16,0.31,0.36,0.35,0.52,0.5,0.59,0.67,0.76,0.83,0.88,0.89,0.92,0.94,0.98,0.98
"Dim 9",0.06,0.05,0.1,0.02,0.07,0.05,0.12,0.06,0.12,0.2,0.16,0.28,0.28,0.36,0.34,0.55,0.58,0.71,0.63,0.78,0.73,0.88,0.9,0.86,0.94,0.96,0.97
"Dim 10",0.07,0.05,0.03,0.05,0.09,0.06,0.05,0.16,0.11,0.09,0.22,0.23,0.33,0.28,0.35,0.34,0.54,0.57,0.69,0.72,0.74,0.82,0.88,0.92,0.94,0.96,0.97
"Dim 11",0.05,0.01,0.03,0.06,0.09,0.07,0.09,0.06,0.12,0.17,0.14,0.2,0.25,0.33,0.42,0.51,0.45,0.52,0.5,0.64,0.78,0.83,0.83,0.85,0.93,0.92,0.94
"Dim 12",0.04,0.09,0.03,0.11,0.06,0.09,0.08,0.14,0.13,0.16,0.16,0.18,0.21,0.31,0.36,0.45,0.55,0.55,0.64,0.65,0.76,0.84,0.85,0.88,0.93,0.92,0.98
"Dim 13",0.1,0.05,0.04,0.04,0.09,0.05,0.12,0.1,0.1,0.12,0.22,0.21,0.25,0.29,0.3,0.39,0.45,0.51,0.51,0.6,0.77,0.78,0.82,0.88,0.92,0.94,0.96
"Dim 14",0.07,0.06,0.03,0.08,0.04,0.07,0.1,0.14,0.09,0.05,0.12,0.18,0.26,0.28,0.36,0.4,0.46,0.49,0.56,0.63,0.68,0.75,0.74,0.88,0.87,0.93,0.9
"Dim 15",0.07,0.04,0.09,0.11,0.1,0.05,0.09,0.04,0.14,0.1,0.11,0.17,0.22,0.17,0.31,0.37,0.39,0.47,0.53,0.57,0.62,0.74,0.72,0.82,0.86,0.95,0.92
"Dim 16",0.04,0.03,0.05,0.05,0.1,0.04,0.09,0.07,0.1,0.12,0.17,0.16,0.19,0.21,0.27,0.34,0.47,0.49,0.46,0.55,0.71,0.72,0.81,0.92,0.91,0.94,0.91
"Dim 17",0.04,0.04,0.03,0.09,0.04,0.08,0.03,0.05,0.12,0.1,0.18,0.13,0.18,0.25,0.32,0.37,0.42,0.5,0.56,0.46,0.61,0.65,0.79,0.8,0.87,0.89,0.9
"Dim 18",0.09,0.08,0.05,0.02,0.1,0.09,0.06,0.12,0.11,0.07,0.09,0.2,0.17,0.2,0.29,0.28,0.36,0.4,0.52,0.61,0.63,0.79,0.73,0.85,0.87,0.88,0.94
"Dim 19",0.07,0.05,0.04,0.03,0.05,0.07,0.04,0.09,0.11,0.14,0.11,0.18,0.2,0.18,0.32,0.35,0.36,0.37,0.44,0.66,0.6,0.66,0.76,0.85,0.85,0.96,0.9
"Dim 20",0.04,0.05,0.08,0.08,0.09,0.09,0.07,0.08,0.1,0.12,0.11,0.11,0.21,0.14,0.21,0.34,0.45,0.45,0.49,0.5,0.57,0.68,0.65,0.79,0.89,0.89,0.84
