"","sig=1","sig=1.005","sig=1.01","sig=1.015","sig=1.02","sig=1.025","sig=1.03","sig=1.035","sig=1.04","sig=1.045","sig=1.05","sig=1.055","sig=1.06","sig=1.065","sig=1.07","sig=1.075","sig=1.08","sig=1.085","sig=1.09","sig=1.095","sig=1.1","sig=1.105","sig=1.11","sig=1.115","sig=1.12","sig=1.125","sig=1.13","sig=1.135","sig=1.14","sig=1.145","sig=1.15","sig=1.155","sig=1.16","sig=1.165","sig=1.17","sig=1.175","sig=1.18","sig=1.185","sig=1.19","sig=1.195","sig=1.2","sig=1.205","sig=1.21","sig=1.215","sig=1.22","sig=1.225","sig=1.23","sig=1.235","sig=1.24","sig=1.245","sig=1.25","sig=1.255","sig=1.26","sig=1.265","sig=1.27","sig=1.275","sig=1.28","sig=1.285","sig=1.29","sig=1.295","sig=1.3","sig=1.305","sig=1.31","sig=1.315","sig=1.32","sig=1.325","sig=1.33","sig=1.335","sig=1.34","sig=1.345","sig=1.35","sig=1.355","sig=1.36","sig=1.365","sig=1.37","sig=1.375","sig=1.38","sig=1.385","sig=1.39","sig=1.395","sig=1.4"
"Dim 1",0.059,0.049,0.046,0.048,0.05,0.055,0.07,0.051,0.063,0.076,0.074,0.068,0.094,0.073,0.081,0.101,0.094,0.118,0.112,0.121,0.119,0.138,0.145,0.147,0.177,0.185,0.17,0.178,0.217,0.222,0.224,0.24,0.262,0.25,0.282,0.277,0.276,0.318,0.33,0.328,0.341,0.375,0.402,0.385,0.411,0.436,0.427,0.435,0.47,0.493,0.476,0.507,0.524,0.537,0.536,0.59,0.591,0.606,0.624,0.649,0.623,0.632,0.695,0.681,0.707,0.726,0.717,0.759,0.738,0.756,0.77,0.788,0.794,0.786,0.806,0.812,0.83,0.82,0.861,0.851,0.861
"Dim 2",0.054,0.058,0.051,0.053,0.069,0.052,0.051,0.061,0.067,0.064,0.074,0.073,0.076,0.102,0.1,0.103,0.122,0.119,0.127,0.162,0.149,0.17,0.169,0.206,0.184,0.234,0.226,0.221,0.27,0.271,0.262,0.299,0.342,0.329,0.337,0.345,0.398,0.403,0.429,0.464,0.486,0.492,0.512,0.49,0.557,0.561,0.583,0.588,0.615,0.66,0.683,0.712,0.673,0.706,0.746,0.74,0.766,0.803,0.761,0.819,0.836,0.848,0.861,0.872,0.87,0.881,0.893,0.904,0.915,0.923,0.934,0.933,0.943,0.947,0.961,0.953,0.956,0.967,0.961,0.974,0.974
"Dim 3",0.06,0.057,0.059,0.07,0.082,0.067,0.052,0.074,0.081,0.068,0.064,0.071,0.096,0.115,0.098,0.116,0.118,0.128,0.131,0.145,0.153,0.173,0.189,0.201,0.243,0.231,0.249,0.286,0.295,0.297,0.331,0.36,0.378,0.375,0.423,0.461,0.446,0.506,0.521,0.538,0.567,0.627,0.588,0.636,0.689,0.725,0.689,0.714,0.754,0.77,0.792,0.789,0.818,0.806,0.845,0.872,0.884,0.887,0.892,0.906,0.903,0.897,0.93,0.936,0.944,0.946,0.953,0.954,0.971,0.964,0.971,0.97,0.978,0.984,0.988,0.986,0.992,0.984,0.989,0.995,0.996
"Dim 4",0.064,0.053,0.06,0.044,0.069,0.063,0.065,0.059,0.063,0.094,0.094,0.096,0.108,0.098,0.104,0.127,0.14,0.146,0.161,0.142,0.186,0.207,0.21,0.231,0.239,0.265,0.285,0.324,0.312,0.344,0.38,0.395,0.416,0.444,0.442,0.501,0.513,0.546,0.593,0.597,0.621,0.653,0.684,0.704,0.705,0.744,0.768,0.788,0.794,0.837,0.845,0.846,0.88,0.869,0.885,0.908,0.932,0.922,0.948,0.95,0.936,0.958,0.965,0.973,0.973,0.978,0.979,0.983,0.99,0.985,0.986,0.985,0.995,0.993,0.994,0.994,0.996,0.999,0.997,1,0.997
"Dim 5",0.069,0.065,0.075,0.059,0.068,0.068,0.069,0.085,0.087,0.101,0.108,0.104,0.096,0.13,0.135,0.122,0.14,0.177,0.157,0.188,0.189,0.192,0.236,0.274,0.247,0.267,0.316,0.324,0.364,0.38,0.402,0.439,0.467,0.47,0.514,0.57,0.581,0.599,0.639,0.66,0.642,0.713,0.728,0.76,0.785,0.794,0.822,0.846,0.855,0.865,0.877,0.91,0.898,0.923,0.93,0.93,0.943,0.956,0.966,0.967,0.978,0.979,0.98,0.982,0.983,0.985,0.99,0.993,0.997,0.998,0.996,0.997,0.997,0.997,0.997,0.999,1,1,0.999,0.999,1
"Dim 6",0.065,0.065,0.075,0.071,0.075,0.078,0.076,0.077,0.099,0.077,0.123,0.11,0.113,0.127,0.129,0.153,0.154,0.164,0.184,0.201,0.208,0.216,0.258,0.245,0.286,0.304,0.308,0.361,0.349,0.413,0.405,0.464,0.489,0.509,0.565,0.54,0.605,0.652,0.698,0.676,0.724,0.751,0.745,0.798,0.822,0.818,0.835,0.871,0.878,0.892,0.905,0.925,0.932,0.932,0.964,0.967,0.958,0.967,0.979,0.98,0.981,0.989,0.986,0.994,0.996,0.997,0.996,0.997,0.997,0.996,1,0.998,0.999,0.999,1,1,1,0.999,1,1,1
"Dim 7",0.058,0.069,0.081,0.066,0.074,0.078,0.081,0.084,0.096,0.112,0.106,0.096,0.138,0.133,0.144,0.174,0.158,0.178,0.185,0.23,0.244,0.261,0.242,0.291,0.32,0.344,0.335,0.389,0.42,0.437,0.48,0.475,0.539,0.567,0.607,0.646,0.64,0.651,0.72,0.743,0.761,0.789,0.79,0.823,0.865,0.86,0.872,0.89,0.904,0.902,0.937,0.949,0.958,0.963,0.962,0.975,0.973,0.983,0.983,0.984,0.985,0.992,0.995,0.993,0.993,0.994,0.999,0.999,0.997,1,0.999,0.999,1,1,0.999,1,1,1,0.999,1,0.999
"Dim 8",0.075,0.092,0.078,0.093,0.092,0.093,0.11,0.085,0.099,0.095,0.112,0.138,0.141,0.134,0.159,0.162,0.163,0.198,0.211,0.208,0.225,0.275,0.303,0.291,0.326,0.379,0.383,0.412,0.454,0.476,0.52,0.518,0.545,0.567,0.62,0.648,0.701,0.709,0.735,0.773,0.802,0.814,0.832,0.85,0.852,0.871,0.9,0.92,0.945,0.945,0.955,0.966,0.972,0.972,0.969,0.989,0.99,0.986,0.99,0.991,0.993,0.996,0.993,1,0.996,0.998,0.999,0.998,1,1,0.999,0.999,1,1,0.998,1,1,1,1,1,1
"Dim 9",0.084,0.098,0.088,0.092,0.111,0.1,0.081,0.104,0.099,0.132,0.139,0.142,0.131,0.164,0.166,0.173,0.175,0.185,0.2,0.238,0.257,0.291,0.296,0.354,0.363,0.43,0.395,0.445,0.461,0.459,0.559,0.555,0.557,0.639,0.659,0.67,0.711,0.731,0.757,0.782,0.807,0.829,0.852,0.868,0.879,0.9,0.915,0.918,0.942,0.952,0.957,0.968,0.976,0.971,0.979,0.988,0.987,0.988,0.991,0.997,0.991,0.995,0.999,0.998,1,1,0.998,1,1,1,0.998,1,1,1,1,1,1,1,1,1,1
"Dim 10",0.098,0.104,0.104,0.105,0.123,0.123,0.122,0.13,0.122,0.139,0.145,0.158,0.146,0.168,0.173,0.198,0.193,0.246,0.237,0.277,0.286,0.308,0.328,0.332,0.382,0.407,0.423,0.467,0.49,0.514,0.568,0.581,0.648,0.663,0.662,0.713,0.716,0.777,0.798,0.803,0.825,0.864,0.869,0.89,0.908,0.918,0.937,0.957,0.953,0.968,0.975,0.981,0.983,0.974,0.986,0.987,0.995,0.996,0.999,0.998,0.997,0.997,0.998,0.998,1,0.999,0.998,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Dim 11",0.117,0.116,0.118,0.114,0.109,0.139,0.132,0.11,0.133,0.127,0.169,0.153,0.185,0.183,0.195,0.226,0.26,0.242,0.258,0.295,0.304,0.324,0.347,0.368,0.413,0.432,0.47,0.511,0.508,0.541,0.564,0.612,0.625,0.687,0.7,0.765,0.735,0.781,0.788,0.814,0.84,0.87,0.88,0.908,0.924,0.942,0.944,0.949,0.966,0.977,0.978,0.983,0.981,0.988,0.988,0.999,0.996,0.995,0.997,0.998,0.996,0.998,1,1,1,0.999,1,0.998,1,1,1,1,1,1,1,1,1,1,1,1,1
"Dim 12",0.126,0.121,0.14,0.137,0.156,0.138,0.139,0.157,0.157,0.176,0.167,0.158,0.193,0.205,0.216,0.234,0.276,0.266,0.294,0.301,0.321,0.352,0.389,0.385,0.458,0.476,0.493,0.516,0.518,0.594,0.616,0.651,0.659,0.667,0.749,0.742,0.782,0.805,0.837,0.833,0.874,0.877,0.89,0.918,0.919,0.93,0.953,0.972,0.972,0.98,0.975,0.99,0.987,0.986,0.993,0.995,0.989,0.994,0.996,1,0.997,0.999,0.998,1,0.999,1,0.999,1,1,0.999,1,1,1,1,1,1,1,1,1,1,1
"Dim 13",0.146,0.135,0.147,0.15,0.156,0.144,0.16,0.167,0.164,0.189,0.188,0.207,0.234,0.207,0.225,0.245,0.268,0.289,0.319,0.334,0.348,0.387,0.419,0.45,0.454,0.485,0.517,0.54,0.574,0.613,0.629,0.685,0.705,0.725,0.78,0.797,0.802,0.838,0.854,0.876,0.893,0.893,0.935,0.931,0.946,0.949,0.959,0.959,0.977,0.98,0.982,0.992,0.99,0.992,0.996,0.995,0.999,0.998,0.998,0.999,1,1,0.999,0.999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Dim 14",0.149,0.162,0.164,0.188,0.166,0.179,0.212,0.184,0.206,0.201,0.22,0.22,0.235,0.262,0.252,0.294,0.312,0.346,0.312,0.361,0.411,0.411,0.432,0.468,0.522,0.507,0.546,0.574,0.604,0.639,0.661,0.678,0.725,0.743,0.783,0.823,0.851,0.862,0.871,0.869,0.893,0.943,0.931,0.948,0.962,0.975,0.96,0.966,0.988,0.983,0.987,0.993,0.994,0.99,0.998,0.995,0.998,0.997,0.999,0.999,0.998,0.999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Dim 15",0.199,0.193,0.199,0.192,0.185,0.213,0.205,0.202,0.204,0.23,0.246,0.245,0.259,0.27,0.306,0.307,0.327,0.338,0.365,0.374,0.426,0.443,0.458,0.49,0.533,0.558,0.577,0.608,0.658,0.701,0.694,0.729,0.744,0.765,0.811,0.811,0.847,0.869,0.892,0.888,0.914,0.932,0.954,0.945,0.955,0.966,0.966,0.986,0.992,0.991,0.989,0.994,0.996,0.997,0.998,0.999,0.997,0.999,1,0.999,1,1,1,0.999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Dim 16",0.227,0.232,0.209,0.182,0.225,0.238,0.227,0.244,0.244,0.25,0.249,0.312,0.287,0.323,0.323,0.323,0.378,0.386,0.428,0.418,0.455,0.492,0.504,0.528,0.569,0.589,0.635,0.631,0.655,0.706,0.696,0.773,0.782,0.821,0.831,0.829,0.865,0.898,0.897,0.909,0.928,0.946,0.958,0.966,0.964,0.972,0.978,0.984,0.982,0.992,0.994,0.996,0.995,1,0.999,0.998,0.998,0.999,1,1,1,0.999,1,1,1,0.999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Dim 17",0.225,0.256,0.24,0.246,0.236,0.259,0.281,0.244,0.293,0.273,0.322,0.323,0.334,0.331,0.373,0.404,0.382,0.441,0.441,0.478,0.474,0.538,0.526,0.566,0.627,0.632,0.62,0.68,0.716,0.727,0.742,0.787,0.796,0.838,0.841,0.874,0.885,0.903,0.926,0.942,0.958,0.956,0.962,0.976,0.981,0.984,0.991,0.989,0.988,0.991,0.992,0.995,0.996,0.998,0.999,0.998,0.998,1,0.998,1,0.999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Dim 18",0.275,0.293,0.27,0.303,0.31,0.291,0.298,0.322,0.297,0.298,0.331,0.352,0.37,0.394,0.413,0.432,0.43,0.475,0.468,0.504,0.524,0.562,0.603,0.615,0.636,0.655,0.698,0.683,0.744,0.737,0.772,0.815,0.845,0.858,0.871,0.902,0.919,0.925,0.918,0.944,0.957,0.96,0.964,0.969,0.986,0.982,0.991,0.987,0.993,0.994,0.996,0.998,1,0.998,1,0.999,0.999,1,1,0.999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Dim 19",0.309,0.332,0.326,0.329,0.344,0.35,0.343,0.329,0.374,0.381,0.364,0.377,0.401,0.431,0.421,0.461,0.499,0.503,0.549,0.545,0.569,0.609,0.595,0.639,0.659,0.707,0.725,0.741,0.777,0.816,0.812,0.831,0.86,0.882,0.908,0.914,0.928,0.94,0.93,0.951,0.971,0.966,0.981,0.981,0.987,0.989,0.993,0.99,0.999,0.994,0.996,0.998,1,0.999,0.996,1,0.999,0.999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Dim 20",0.332,0.353,0.373,0.348,0.367,0.366,0.366,0.381,0.396,0.411,0.472,0.449,0.456,0.483,0.485,0.524,0.526,0.572,0.567,0.588,0.621,0.655,0.663,0.661,0.747,0.764,0.747,0.755,0.821,0.844,0.837,0.881,0.892,0.892,0.912,0.931,0.934,0.954,0.964,0.963,0.966,0.982,0.983,0.981,0.991,0.99,0.995,0.996,0.997,1,1,0.997,0.998,0.999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
