"","sig=1","sig=1.01","sig=1.02","sig=1.03","sig=1.04","sig=1.05","sig=1.06","sig=1.07","sig=1.08","sig=1.09","sig=1.1","sig=1.11","sig=1.12","sig=1.13","sig=1.14","sig=1.15","sig=1.16","sig=1.17","sig=1.18","sig=1.19","sig=1.2","sig=1.21","sig=1.22","sig=1.23","sig=1.24","sig=1.25","sig=1.26","sig=1.27","sig=1.28","sig=1.29","sig=1.3","sig=1.31","sig=1.32","sig=1.33","sig=1.34","sig=1.35","sig=1.36","sig=1.37","sig=1.38","sig=1.39","sig=1.4"
"Dim 1",0.05,0.04,0.05,0.08,0.03,0.08,0.06,0.08,0.06,0.05,0.11,0.08,0.05,0.12,0.08,0.11,0.06,0.14,0.09,0.14,0.11,0.1,0.14,0.12,0.14,0.14,0.09,0.22,0.17,0.15,0.27,0.1,0.13,0.18,0.27,0.27,0.19,0.25,0.25,0.29,0.24
"Dim 2",0.05,0.04,0.06,0.06,0.06,0.04,0.06,0.05,0.1,0.07,0.14,0.05,0.06,0.1,0.1,0.08,0.06,0.13,0.12,0.18,0.18,0.15,0.27,0.28,0.25,0.25,0.23,0.25,0.19,0.22,0.27,0.33,0.31,0.37,0.42,0.37,0.47,0.5,0.55,0.48,0.49
"Dim 3",0.05,0.03,0.05,0.06,0.05,0.07,0.1,0.1,0.13,0.06,0.09,0.08,0.08,0.11,0.17,0.15,0.13,0.17,0.1,0.15,0.22,0.23,0.26,0.23,0.26,0.26,0.32,0.35,0.29,0.39,0.42,0.46,0.48,0.44,0.53,0.53,0.58,0.57,0.58,0.59,0.66
"Dim 4",0.11,0.08,0.05,0.08,0.03,0.08,0.04,0.06,0.07,0.04,0.1,0.16,0.17,0.15,0.13,0.15,0.17,0.16,0.21,0.27,0.27,0.34,0.26,0.31,0.37,0.44,0.26,0.38,0.39,0.46,0.42,0.49,0.48,0.62,0.62,0.55,0.64,0.62,0.64,0.7,0.72
"Dim 5",0.04,0.08,0.07,0.07,0.03,0.08,0.04,0.08,0.08,0.07,0.06,0.05,0.08,0.08,0.13,0.15,0.18,0.2,0.14,0.21,0.22,0.28,0.29,0.34,0.31,0.38,0.4,0.43,0.39,0.43,0.52,0.54,0.57,0.64,0.77,0.62,0.77,0.74,0.75,0.75,0.74
"Dim 6",0.03,0.04,0.04,0.05,0.03,0.07,0.08,0.04,0.15,0.13,0.16,0.19,0.08,0.15,0.15,0.12,0.16,0.19,0.25,0.3,0.26,0.31,0.27,0.46,0.41,0.4,0.39,0.49,0.51,0.59,0.59,0.7,0.57,0.65,0.68,0.74,0.79,0.77,0.84,0.83,0.9
"Dim 7",0.04,0.07,0.06,0.08,0.05,0.09,0.06,0.07,0.1,0.1,0.15,0.14,0.16,0.12,0.18,0.16,0.2,0.18,0.17,0.3,0.25,0.37,0.32,0.38,0.41,0.47,0.5,0.62,0.58,0.66,0.64,0.63,0.76,0.67,0.78,0.81,0.77,0.85,0.86,0.82,0.94
"Dim 8",0.09,0.05,0.04,0.07,0.08,0.07,0.09,0.07,0.05,0.11,0.13,0.1,0.14,0.15,0.17,0.24,0.24,0.22,0.18,0.27,0.33,0.32,0.42,0.5,0.46,0.5,0.49,0.54,0.64,0.6,0.71,0.73,0.71,0.74,0.84,0.79,0.84,0.87,0.93,0.88,0.96
"Dim 9",0.08,0.04,0.05,0.06,0.1,0.09,0.11,0.04,0.08,0.06,0.12,0.18,0.15,0.16,0.12,0.2,0.2,0.3,0.35,0.34,0.33,0.3,0.39,0.55,0.45,0.51,0.54,0.55,0.59,0.59,0.63,0.73,0.77,0.8,0.78,0.85,0.93,0.88,0.91,0.88,0.93
"Dim 10",0.02,0.05,0.07,0.07,0.1,0.08,0.1,0.05,0.08,0.07,0.08,0.11,0.15,0.15,0.2,0.21,0.24,0.3,0.23,0.35,0.33,0.41,0.45,0.54,0.51,0.62,0.7,0.53,0.6,0.7,0.74,0.83,0.79,0.82,0.84,0.88,0.88,0.92,0.91,0.87,0.98
"Dim 11",0.09,0.05,0.06,0.04,0.11,0.1,0.09,0.06,0.08,0.13,0.16,0.1,0.19,0.2,0.17,0.21,0.13,0.27,0.26,0.36,0.35,0.32,0.38,0.58,0.55,0.63,0.64,0.72,0.76,0.66,0.75,0.74,0.83,0.82,0.87,0.89,0.94,0.91,0.96,0.93,0.94
"Dim 12",0.05,0.07,0.05,0.03,0.05,0.05,0.08,0.05,0.12,0.18,0.07,0.17,0.14,0.15,0.23,0.29,0.31,0.32,0.28,0.39,0.34,0.47,0.44,0.54,0.56,0.62,0.67,0.69,0.72,0.67,0.76,0.8,0.79,0.81,0.87,0.87,0.91,0.93,0.96,0.97,0.98
"Dim 13",0.01,0.08,0.08,0.07,0.07,0.06,0.09,0.08,0.16,0.11,0.08,0.13,0.18,0.2,0.22,0.16,0.27,0.3,0.36,0.37,0.4,0.46,0.46,0.55,0.52,0.6,0.7,0.71,0.68,0.84,0.84,0.94,0.8,0.89,0.88,0.94,0.94,0.94,0.99,0.93,0.96
"Dim 14",0.09,0.07,0.03,0.01,0.04,0.09,0.05,0.08,0.17,0.11,0.19,0.11,0.14,0.15,0.29,0.3,0.27,0.35,0.36,0.35,0.46,0.44,0.53,0.58,0.59,0.77,0.7,0.75,0.63,0.84,0.81,0.78,0.94,0.84,0.83,0.89,0.9,0.95,0.97,0.96,0.97
"Dim 15",0.03,0.05,0.06,0.09,0.05,0.05,0.07,0.1,0.08,0.06,0.12,0.18,0.11,0.19,0.23,0.29,0.32,0.4,0.42,0.37,0.34,0.47,0.56,0.58,0.57,0.62,0.66,0.65,0.74,0.79,0.86,0.85,0.93,0.91,0.9,0.88,0.97,0.93,0.96,0.97,0.98
"Dim 16",0.06,0.08,0.05,0.07,0.06,0.08,0.09,0.09,0.1,0.16,0.07,0.1,0.21,0.16,0.14,0.26,0.27,0.38,0.38,0.41,0.46,0.52,0.52,0.61,0.64,0.61,0.72,0.7,0.79,0.82,0.89,0.85,0.8,0.96,0.96,0.94,0.97,0.97,1,0.95,0.95
"Dim 17",0.11,0.05,0.03,0.09,0.01,0.02,0.11,0.12,0.1,0.14,0.15,0.16,0.22,0.23,0.21,0.29,0.31,0.38,0.35,0.46,0.5,0.54,0.59,0.65,0.52,0.72,0.65,0.75,0.79,0.81,0.85,0.86,0.94,0.85,0.88,0.92,0.95,0.93,0.98,0.97,1
"Dim 18",0.08,0.03,0.03,0.08,0.08,0.11,0.06,0.1,0.16,0.07,0.13,0.16,0.14,0.21,0.24,0.24,0.32,0.3,0.43,0.44,0.43,0.52,0.56,0.65,0.58,0.69,0.76,0.74,0.73,0.82,0.77,0.89,0.89,0.96,0.95,0.96,0.96,0.96,0.98,0.93,0.98
"Dim 19",0.07,0.06,0.04,0.07,0.02,0.11,0.04,0.08,0.12,0.09,0.14,0.15,0.21,0.22,0.27,0.3,0.26,0.4,0.45,0.45,0.39,0.53,0.57,0.65,0.71,0.67,0.74,0.77,0.77,0.85,0.84,0.84,0.88,0.86,0.93,0.97,0.96,0.97,0.96,0.96,0.98
"Dim 20",0.03,0.04,0.03,0.05,0.02,0.08,0.1,0.09,0.14,0.12,0.17,0.2,0.2,0.2,0.31,0.27,0.31,0.36,0.45,0.44,0.49,0.61,0.63,0.58,0.67,0.74,0.66,0.74,0.76,0.82,0.88,0.87,0.91,0.88,0.91,0.97,0.94,0.98,0.97,0.98,0.96
