,0,1,2,3,4,5,6,7,8,9
0,33.0,34.0,39.0,32.0,36.0,36.0,16.0,26.0,10.0,20.0
1,36.0,64.0,121.0,186.0,350.0,495.0,589.0,709.0,735.0,782.0
2,37.0,60.0,104.0,196.0,326.0,494.0,632.0,754.0,840.0,894.0
3,32.0,47.0,93.0,192.0,298.0,469.0,598.0,764.0,837.0,911.0
4,44.0,51.0,87.0,174.0,298.0,410.0,540.0,683.0,794.0,886.0
5,34.0,52.0,86.0,152.0,258.0,385.0,503.0,662.0,772.0,862.0
6,39.0,44.0,97.0,145.0,248.0,341.0,500.0,625.0,762.0,851.0
7,38.0,45.0,87.0,153.0,214.0,338.0,442.0,570.0,722.0,811.0
8,42.0,50.0,86.0,123.0,214.0,317.0,435.0,559.0,652.0,789.0
9,35.0,45.0,86.0,126.0,202.0,295.0,395.0,512.0,641.0,762.0
10,36.0,50.0,54.0,135.0,169.0,304.0,398.0,518.0,632.0,738.0
11,43.0,35.0,60.0,114.0,177.0,259.0,377.0,486.0,592.0,717.0
12,38.0,46.0,70.0,121.0,197.0,265.0,371.0,452.0,600.0,701.0
13,30.0,52.0,70.0,94.0,173.0,258.0,351.0,435.0,580.0,665.0
14,41.0,43.0,66.0,104.0,147.0,234.0,319.0,432.0,549.0,660.0
15,37.0,35.0,71.0,77.0,186.0,226.0,332.0,422.0,548.0,673.0
16,37.0,37.0,71.0,95.0,160.0,208.0,309.0,402.0,504.0,637.0
17,36.0,31.0,68.0,105.0,152.0,199.0,316.0,390.0,512.0,638.0
18,40.0,45.0,57.0,80.0,147.0,183.0,285.0,377.0,466.0,599.0
19,35.0,52.0,55.0,93.0,127.0,202.0,289.0,373.0,491.0,570.0
