,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,35.0,46.0,75.0,126.0,206.0,298.0,387.0,507.0,615.0,737.0,815.0,896.0,942.0,973.0,985.0,997.0,997.0,999.0,1000.0,1000.0
1,22.0,42.0,37.0,66.0,81.0,84.0,109.0,171.0,197.0,283.0,324.0,403.0,449.0,541.0,593.0,647.0,737.0,775.0,850.0,879.0
2,38.0,42.0,44.0,56.0,60.0,69.0,87.0,97.0,145.0,172.0,197.0,232.0,276.0,326.0,341.0,405.0,436.0,509.0,534.0,597.0
3,31.0,37.0,40.0,39.0,56.0,65.0,68.0,83.0,99.0,124.0,123.0,152.0,170.0,193.0,218.0,257.0,300.0,324.0,363.0,398.0
4,38.0,47.0,48.0,32.0,43.0,56.0,57.0,58.0,66.0,86.0,103.0,101.0,128.0,137.0,172.0,177.0,202.0,223.0,244.0,302.0
5,32.0,35.0,44.0,41.0,42.0,40.0,48.0,49.0,70.0,70.0,78.0,94.0,107.0,105.0,118.0,138.0,159.0,156.0,202.0,205.0
6,29.0,34.0,37.0,33.0,35.0,51.0,58.0,52.0,59.0,70.0,66.0,84.0,92.0,84.0,99.0,120.0,132.0,163.0,161.0,194.0
7,41.0,28.0,32.0,46.0,47.0,48.0,56.0,47.0,65.0,49.0,67.0,71.0,73.0,84.0,93.0,101.0,115.0,94.0,149.0,145.0
8,41.0,31.0,30.0,33.0,51.0,42.0,46.0,50.0,62.0,46.0,48.0,69.0,83.0,79.0,79.0,86.0,107.0,109.0,119.0,125.0
9,36.0,24.0,38.0,42.0,42.0,37.0,41.0,56.0,56.0,46.0,51.0,70.0,79.0,79.0,92.0,78.0,94.0,96.0,112.0,107.0
